dataset,line_id_orig,timestamp,time_delta,node,component,level,content,event_id,event_template,risk_score,severity_label,severity_code
HDFS,103,09-11-2008 23:01,809,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.90.134:50010:Got exception while serving blk_7154985168984871115 to /10.251.110.160:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
BGL,927,14-07-2005 03:58,1086,R20-M1-N9-C:J12-U11,KERNEL,INFO,generating core.19481,E67,generating core.<*>,0.1,Normal,0
BGL,833,12-07-2005 12:48,0,R34-M1-N4-C:J10-U01,KERNEL,INFO,generating core.14021,E67,generating core.<*>,0.1,Normal,0
BGL,2336,24-11-2005 17:38,13042,R14-M0-N8-I:J18-U01,APP,FATAL,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:41534, Link has been severed",E32,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Link has been severed",0.9,Risk,2
HDFS,693,10-11-2008 13:25,333,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.39.179:50010:Got exception while serving blk_1683075246463470765 to /10.250.14.38:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
BGL,2379,13-09-2005 16:02,38291,R30-M0-N4-I:J18-U01,KERNEL,FATAL,Lustre mount FAILED : bglio388 : point /p/gb1,E81,Lustre mount FAILED : bglio<*> : point <*>,0.9,Risk,2
HDFS,835,10-11-2008 21:01,0,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.delete: blk_-7693277678281547790 is added to invalidSet of 10.251.30.6:50010,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,0.05,Normal,0
BGL,2221,21-11-2005 22:47,3649,R16-M1-NC-I:J18-U11,APP,FATAL,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:41060, Connection timed out",E31,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Connection timed out",0.9,Risk,2
HDFS,959,10-11-2008 21:50,56,UNKNOWN,dfs.DataNode$PacketResponder,INFO,Received block blk_2474460483915499078 of size 67108864 from /10.251.195.52,E11,Received block blk_<*> of size <*> from /<*>,0.05,Normal,0
HDFS,177,10-11-2008 00:29,337,UNKNOWN,dfs.DataNode$DataXceiver,INFO,Receiving block blk_-8524274644018377752 src: /10.251.42.16:33011 dest: /10.251.42.16:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,0.05,Normal,0
BGL,1405,15-09-2005 15:28,170786,R72-M1-N0-I:J18-U01,APP,FATAL,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:37916: Link has been severed,E29,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>:<*>: Link has been severed,0.9,Risk,2
BGL,1795,26-11-2005 22:41,33139,R33-M1-N4-I:J18-U11,APP,FATAL,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:47189, Link has been severed",E32,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Link has been severed",0.9,Risk,2
HDFS,1954,11-11-2008 09:54,85,UNKNOWN,dfs.DataNode$PacketResponder,INFO,Received block blk_7294821275446427348 of size 67108864 from /10.251.43.210,E11,Received block blk_<*> of size <*> from /<*>,0.05,Normal,0
HDFS,2008,10-11-2008 03:09,403,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.31.5:50010:Got exception while serving blk_-1367876730256254709 to /10.251.67.225:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
BGL,2406,04-06-2005 07:24,24228,R04-M1-N4-I:J18-U11,APP,FATAL,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>,0.9,Risk,2
HDFS,1908,11-11-2008 09:23,32,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.allocateBlock: /user/root/rand8/_temporary/_task_200811101024_0015_m_000882_0/part-00882. blk_-3152434225121092058,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,0.05,Normal,0
BGL,36,05-06-2005 15:32,69,R34-M1-NC-C:J06-U11,KERNEL,INFO,generating core.6990,E67,generating core.<*>,0.1,Normal,0
BGL,2386,01-09-2005 05:30,57,R25-M1-N4-I:J18-U01,KERNEL,FATAL,Lustre mount FAILED : bglio344 : point /p/gb1,E81,Lustre mount FAILED : bglio<*> : point <*>,0.9,Risk,2
BGL,1526,31-10-2005 14:51,3581,R74-M1-NC-C:J15-U11,KERNEL,INFO,"4 ddr errors(s) detected and corrected on rank 0, symbol 24, bit 1",E2,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",0.1,Normal,0
BGL,2259,21-11-2005 21:41,23,R22-M0-N0-I:J18-U01,APP,FATAL,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:52930, Connection reset by peer",E30,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Connection reset by peer",0.9,Risk,2
BGL,2443,16-11-2005 03:21,118,R57-M0-N8-C:J12-U01,KERNEL,FATAL,"Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=009756d5 8bfa0003 00000002 00000000) PSR0=20021f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",E60,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",0.9,Risk,2
BGL,2272,11-09-2005 10:22,11718,R43-M0-N8-I:J18-U11,APP,FATAL,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:45713: Link has been severed,E29,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>:<*>: Link has been severed,0.9,Risk,2
HDFS,1023,10-11-2008 22:12,38,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.allocateBlock: /user/root/randtxt3/_temporary/_task_200811101024_0007_m_000186_0/part-00186. blk_-6754647973871368247,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,0.05,Normal,0
BGL,374,22-06-2005 21:29,24859,R22-M0-NA-C:J02-U11,KERNEL,INFO,199680 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,0.1,Normal,0
BGL,727,09-07-2005 20:23,19,R14-M1-N7-C:J04-U01,KERNEL,INFO,generating core.33163,E67,generating core.<*>,0.1,Normal,0
BGL,1234,10-08-2005 05:38,15131,R15-M0-NC-C:J04-U11,KERNEL,INFO,1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,E13,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,0.1,Normal,0
HDFS,338,10-11-2008 08:27,138,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.250.15.198:50010:Got exception while serving blk_-1851265222873801714 to /10.251.195.52:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
BGL,325,15-06-2005 14:40,2575,R22-M0-NE-C:J04-U11,KERNEL,INFO,generating core.15,E67,generating core.<*>,0.1,Normal,0
BGL,2265,14-06-2005 00:36,10759,R10-M1-N5-C:J15-U11,KERNEL,FATAL,data storage interrupt,E52,data storage interrupt,0.9,Risk,2
HDFS,79,09-11-2008 21:44,199,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.126.255:50010:Got exception while serving blk_8376667364205250596 to /10.251.91.159:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
BGL,965,16-07-2005 06:11,6,R23-M0-NE-C:J16-U11,KERNEL,INFO,generating core.17212,E67,generating core.<*>,0.1,Normal,0
HDFS,1676,11-11-2008 07:33,36,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.96:50010 is added to blk_4641147544753118391 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,0.05,Normal,0
HDFS,1330,11-11-2008 04:20,15,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.166:50010 is added to blk_-2332150303475653460 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,0.05,Normal,0
BGL,1,03-06-2005 22:42,0,R02-M1-N0-C:J12-U11,KERNEL,INFO,instruction cache parity error corrected,E77,instruction cache parity error corrected,0.1,Normal,0
HDFS,970,10-11-2008 21:57,28,UNKNOWN,dfs.DataNode$DataXceiver,INFO,Receiving block blk_392347292517057138 src: /10.251.31.160:58721 dest: /10.251.31.160:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,0.05,Normal,0
BGL,2462,13-12-2005 17:53,38,R44-M0-N4-I:J18-U01,APP,FATAL,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:56170, Link has been severed",E32,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Link has been severed",0.9,Risk,2
HDFS,84,09-11-2008 21:51,137,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.199.19:50010:Got exception while serving blk_8466246428293623262 to /10.251.106.37:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,320,10-11-2008 08:05,2662,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.111.130:50010:Got exception while serving blk_3169060243663461885 to /10.251.214.32:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
BGL,1725,10-11-2005 00:25,28,R63-M0-N8-C:J14-U11,KERNEL,INFO,iar 00106448 dear 0246dbbc,E70,iar <*> dear <*>,0.1,Normal,0
BGL,482,30-06-2005 15:38,141,R04-M0-NF-C:J12-U01,KERNEL,INFO,generating core.257,E67,generating core.<*>,0.1,Normal,0
HDFS,86,09-11-2008 21:57,243,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.202.134:50010:Got exception while serving blk_3441699978641526775 to /10.251.126.5:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,2213,10-11-2008 19:33,727,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.39.179:50010:Got exception while serving blk_-8558281124275910849 to /10.251.30.134:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,2121,11-11-2008 01:22,615,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.250.7.32:50010:Got exception while serving blk_-1508527605812345693 to /10.251.74.192:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
BGL,2434,15-12-2005 07:16,5284,R37-M1-N8-I:J18-U11,APP,FATAL,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:49934, Link has been severed",E32,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Link has been severed",0.9,Risk,2
BGL,38,05-06-2005 16:03,1873,R37-M0-N7-C:J08-U11,KERNEL,INFO,generating core.2218,E67,generating core.<*>,0.1,Normal,0
HDFS,2115,09-11-2008 21:45,5,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.123.132:50010:Got exception while serving blk_3763728533434719668 to /10.251.38.214:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,787,10-11-2008 16:39,200,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.30.101:50010:Got exception while serving blk_-5340885607150360719 to /10.251.30.101:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,1712,11-11-2008 07:56,4,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.delete: blk_-75893538967225087 is added to invalidSet of 10.250.15.198:50010,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,0.05,Normal,0
BGL,2289,14-06-2005 00:36,9621,R10-M1-N5-C:J15-U11,KERNEL,FATAL,data storage interrupt,E52,data storage interrupt,0.9,Risk,2
BGL,2343,16-11-2005 03:21,120,R57-M0-N8-C:J12-U01,KERNEL,FATAL,"Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=009756d5 8bfa0003 00000002 00000000) PSR0=20021f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",E60,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",0.9,Risk,2
BGL,1304,26-08-2005 19:20,27,R67-M1-N3-C:J16-U01,KERNEL,INFO,iar 003a9260 dear 0128fc88,E70,iar <*> dear <*>,0.1,Normal,0
BGL,2293,26-11-2005 22:41,37363,R33-M1-N4-I:J18-U11,APP,FATAL,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:47189, Link has been severed",E32,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Link has been severed",0.9,Risk,2
BGL,94,09-06-2005 07:11,8583,R21-M1-NA-C:J07-U11,KERNEL,INFO,generating core.1694,E67,generating core.<*>,0.1,Normal,0
BGL,1006,17-07-2005 11:13,57,R12-M0-NF-C:J16-U01,KERNEL,INFO,generating core.58120,E67,generating core.<*>,0.1,Normal,0
BGL,1237,11-08-2005 11:26,50123,R35-M0-N6-C:J13-U01,KERNEL,INFO,"CE sym 28, at 0x0fe65820, mask 0x04",E18,"CE sym <*>, at <*>, mask <*>",0.1,Normal,0
HDFS,1797,11-11-2008 08:32,7,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.allocateBlock: /user/root/rand7/_temporary/_task_200811101024_0014_m_001348_0/part-01348. blk_4531288786306744275,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,0.05,Normal,0
HDFS,1260,11-11-2008 03:34,135,UNKNOWN,dfs.DataNode$PacketResponder,INFO,PacketResponder 2 for block blk_-1957299792594627113 terminating,E10,PacketResponder <*> for block blk_<*> terminating,0.05,Normal,0
BGL,2278,13-12-2005 17:52,138994,R74-M1-N8-I:J18-U11,APP,FATAL,"ciod: Error reading message prefix on CioStream socket to 172.16.96.116:55929, Link has been severed",E32,"ciod: Error reading message prefix on CioStream socket to <*>:<*>, Link has been severed",0.9,Risk,2
BGL,1522,30-10-2005 04:13,115998,R06-M0-N9-C:J02-U01,KERNEL,INFO,"CE sym 29, at 0x1b719940, mask 0x02",E18,"CE sym <*>, at <*>, mask <*>",0.1,Normal,0
HDFS,997,10-11-2008 22:06,2,UNKNOWN,dfs.FSNamesystem,INFO,BLOCK* NameSystem.delete: blk_1481009974400305784 is added to invalidSet of 10.251.39.242:50010,E8,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:<*>,0.05,Normal,0
HDFS,2180,09-11-2008 21:44,214,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.126.255:50010:Got exception while serving blk_8376667364205250596 to /10.251.91.159:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,607,10-11-2008 11:47,14,UNKNOWN,dfs.DataNode$DataXceiver,INFO,Receiving block blk_2980964138205299397 src: /10.251.110.196:53450 dest: /10.251.110.196:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,0.05,Normal,0
HDFS,1110,10-11-2008 23:19,188,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.75.143:50010:Got exception while serving blk_2262752117989012641 to /10.250.13.188:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
BGL,842,13-07-2005 10:58,3,R26-M1-N1-C:J11-U01,KERNEL,INFO,117400328 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,0.1,Normal,0
BGL,450,26-06-2005 17:29,16,R05-M1-N8-C:J15-U11,KERNEL,INFO,instruction address: 0x0062fe04,E76,instruction address: <*>,0.1,Normal,0
HDFS,2006,10-11-2008 23:19,8,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.126.227:50010:Got exception while serving blk_-4181768899028058192 to /10.251.26.177:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,329,10-11-2008 08:10,10,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.90.239:50010:Got exception while serving blk_-8679916835272129336 to /10.250.15.198:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,2152,09-11-2008 21:40,38,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.30.85:50010:Got exception while serving blk_-2918118818249673980 to /10.251.90.64:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
HDFS,2010,10-11-2008 02:34,739,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.67.225:50010:Got exception while serving blk_-6900989714336081087 to /10.251.25.237:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
BGL,2372,15-11-2005 02:25,1,R46-M1-N1-C:J02-U01,KERNEL,FATAL,"Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=00ce22e8 e6200003 00000002 00000000) PSR0=20021f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",E60,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",0.9,Risk,2
HDFS,2179,09-11-2008 21:44,222,UNKNOWN,dfs.DataNode$DataXceiver,WARN,10.251.126.255:50010:Got exception while serving blk_8376667364205250596 to /10.251.91.159:,E3,<*>:<*>:Got exception while serving blk_<*> to /<*>:,0.7,Medium,1
